 frequency       frequency       NF_dB           inoise_spectrum onoise_spectrum
 1.77827941e+09  1.77827941e+09  9.47956161e-01  1.01536835e-09  7.34489359e-10
 1.79887092e+09  1.79887092e+09  9.37693060e-01  1.01416931e-09  7.57011227e-10
 1.81970086e+09  1.81970086e+09  9.27816524e-01  1.01301678e-09  7.80997678e-10
 1.84077200e+09  1.84077200e+09  9.18336894e-01  1.01191179e-09  8.06619758e-10
 1.86208714e+09  1.86208714e+09  9.09264154e-01  1.01085537e-09  8.34076058e-10
 1.88364909e+09  1.88364909e+09  9.00607915e-01  1.00984846e-09  8.63598333e-10
 1.90546072e+09  1.90546072e+09  8.92377406e-01  1.00889201e-09  8.95458528e-10
 1.92752491e+09  1.92752491e+09  8.84581479e-01  1.00798690e-09  9.29977631e-10
 1.94984460e+09  1.94984460e+09  8.77228620e-01  1.00713397e-09  9.67536938e-10
 1.97242274e+09  1.97242274e+09  8.70326985e-01  1.00633404e-09  1.00859249e-09
 1.99526231e+09  1.99526231e+09  8.63884442e-01  1.00558789e-09  1.05369377e-09
 2.01836636e+09  2.01836636e+09  8.57908644e-01  1.00489630e-09  1.10350816e-09
 2.04173794e+09  2.04173794e+09  8.52407117e-01  1.00426001e-09  1.15885321e-09
 2.06538016e+09  2.06538016e+09  8.47387382e-01  1.00367980e-09  1.22073978e-09
 2.08929613e+09  2.08929613e+09  8.42857101e-01  1.00315645e-09  1.29043021e-09
 2.11348904e+09  2.11348904e+09  8.38824263e-01  1.00269079e-09  1.36951768e-09
 2.13796209e+09  2.13796209e+09  8.35297405e-01  1.00228374e-09  1.46003540e-09
 2.16271852e+09  2.16271852e+09  8.32285882e-01  1.00193629e-09  1.56460808e-09
 2.18776162e+09  2.18776162e+09  8.29800180e-01  1.00164960e-09  1.68666246e-09
 2.21309471e+09  2.21309471e+09  8.27852291e-01  1.00142500e-09  1.83071774e-09
 2.23872114e+09  2.23872114e+09  8.26456143e-01  1.00126404e-09  2.00277494e-09
 2.26464431e+09  2.26464431e+09  8.25628101e-01  1.00116859e-09  2.21079689e-09
 2.29086765e+09  2.29086765e+09  8.25387543e-01  1.00114087e-09  2.46515819e-09
 2.31739465e+09  2.31739465e+09  8.25757522e-01  1.00118351e-09  2.77856185e-09
 2.34422882e+09  2.34422882e+09  8.26765511e-01  1.00129971e-09  3.16374901e-09
 2.37137371e+09  2.37137371e+09  8.28444252e-01  1.00149325e-09  3.62422613e-09
 2.39883292e+09  2.39883292e+09  8.30832716e-01  1.00176868e-09  4.12784935e-09
 2.42661010e+09  2.42661010e+09  8.33977173e-01  1.00213140e-09  4.55903727e-09
 2.45470892e+09  2.45470892e+09  8.37932392e-01  1.00258784e-09  4.71429461e-09
 2.48313311e+09  2.48313311e+09  8.42762971e-01  1.00314557e-09  4.47264475e-09
 2.51188643e+09  2.51188643e+09  8.48544816e-01  1.00381355e-09  3.95887879e-09
 2.54097271e+09  2.54097271e+09  8.55366756e-01  1.00460226e-09  3.38596522e-09
 2.57039578e+09  2.57039578e+09  8.63332326e-01  1.00552397e-09  2.87368636e-09
 2.60015956e+09  2.60015956e+09  8.72561691e-01  1.00659298e-09  2.45191381e-09
 2.63026799e+09  2.63026799e+09  8.83193731e-01  1.00782586e-09  2.11309833e-09
 2.66072506e+09  2.66072506e+09  8.95388276e-01  1.00924179e-09  1.84106312e-09
 2.69153480e+09  2.69153480e+09  9.09328467e-01  1.01086285e-09  1.62067803e-09
 2.72270131e+09  2.72270131e+09  9.25223243e-01  1.01271438e-09  1.43994965e-09
 2.75422870e+09  2.75422870e+09  9.43309904e-01  1.01482535e-09  1.28984694e-09
 2.78612117e+09  2.78612117e+09  9.63856722e-01  1.01722880e-09  1.16365795e-09
 2.81838293e+09  2.81838293e+09  9.87165531e-01  1.01996223e-09  1.05638237e-09
 2.85101827e+09  2.85101827e+09  1.01357423e+00  1.02306806e-09  9.64261401e-10
 2.88403150e+09  2.88403150e+09  1.04345912e+00  1.02659411e-09  8.84436363e-10
 2.91742701e+09  2.91742701e+09  1.07723689e+00  1.03059411e-09  8.14705779e-10
 2.95120923e+09  2.95120923e+09  1.11536624e+00  1.03512816e-09  7.53352990e-10
